Name of Lending Institution,HQ State,Rank,TA Ratio1,TBL Ratio1,"Amount ($1,000)",Number ,Lender Asset Size,"Amount ($1,000)",Number ,,"Amount ($1,000)",Number ,CC Amount/TA1
,,(1),(2),(3),(4),(5),(6),(7),(8),,(9),(10),(11)
American Express Co. ,NY ,1,0.238,1.000," 1,63,50,038 "," 36,03,226 ", >$50B                ," 1,63,18,089 "," 36,03,088 ",," 31,949 ", 138 ,0.28
First Citizens Banchares,NC ,2,0.187,0.491," 39,14,507 "," 1,17,702 ", $10B-$50B            ," 3,78,394 "," 1,05,081 ",," 35,36,113 "," 12,621 ",    .  
Wintrust Financial Corp.,IL ,3,0.169,0.384," 28,42,793 "," 1,36,801 ", $10B-$50B            ," 8,00,526 "," 1,26,455 ",," 20,42,267 "," 10,346 ",0
Zions Bancorp,UT ,4,0.118,0.261," 62,31,770 "," 52,612 ", >$50B                ," 5,26,206 "," 32,973 ",," 57,05,564 "," 19,639 ",0
Synovus Financial Corp.,GA ,5,0.162,0.381," 42,27,168 "," 22,675 ", $10B-$50B            ," 5,39,666 "," 9,593 ",," 36,87,502 "," 13,082 ",0.01
BB&T Corp. ,NC ,6,0.053,0.253," 94,08,732 "," 5,06,879 ", >$50B                ," 19,22,393 "," 4,73,449 ",," 74,86,339 "," 33,430 ",0
FNB Corp. ,PA ,7,0.128,0.416," 14,75,506 "," 25,011 ", $10B-$50B            ," 2,47,853 "," 17,810 ",," 12,27,653 "," 7,201 ",    .  
Capital One Financial Corp.,VA ,8,0.028,0.316," 91,05,726 "," 29,14,573 ", >$50B                ," 58,72,601 "," 29,00,077 ",," 32,33,125 "," 14,496 ",0.25
Fulton Financial Corp. ,PA ,8,0.129,0.348," 21,33,209 "," 20,080 ", $10B-$50B            ," 1,87,652 "," 9,909 ",," 19,45,557 "," 10,171 ",    .  
Regions Financial Corp.,AL ,10,0.061,0.219," 73,86,970 "," 63,394 ", >$50B                ," 16,17,601 "," 41,677 ",," 57,69,369 "," 21,717 ",0.01
U S Bancorp.,MN ,11,0.042,0.205," 1,46,32,161 "," 8,70,931 ", >$50B                ," 48,59,559 "," 8,28,856 ",," 97,72,602 "," 42,075 ",0.05
First Niagara Financial Grp. ,NY ,11,0.072,0.288," 25,30,706 "," 32,530 ", $10B-$50B            ," 4,46,838 "," 23,841 ",," 20,83,868 "," 8,689 ",    .  
